timestamp,open,high,low,close,volume
2026-06-11,80.0,84.16,80.0,83.78,3208.67
2026-06-12,83.8,87.96,77.76,78.59,15484.05
2026-06-13,78.6,80.33,78.6,80.12,2545.38
2026-06-14,80.12,82.07,78.15,81.92,9146.65
2026-06-15,81.85,87.3,81.05,83.76,20797.92
2026-06-16,83.78,85.12,78.94,80.44,10248.73
2026-06-17,80.46,85.59,78.8,81.91,15810.43
2026-06-18,81.92,82.6,76.96,79.88,19819.69
2026-06-19,79.86,80.48,78.0,80.48,7486.39
2026-06-20,80.41,81.29,79.67,80.76,6232.18
2026-06-21,80.74,82.5,80.55,80.81,6339.3
2026-06-22,80.79,84.85,79.1,79.74,35593.22
2026-06-23,79.62,79.84,75.78,77.06,11921.02
